Predicted   Anger  Boredom  Empty  Enthusiasm  Fun  Happiness  Hate  Love  \
Actual                                                                      
Anger           0        0      0           0    0          0     0     0   
Boredom         0        0      0           0    0          0     0     0   
Empty           0        0      5           0    0          0     0     0   
Enthusiasm      0        0      0           1    0          0     0     0   
Fun             0        0      0           0    5          0     1     0   
Happiness       0        0      0           0    0         14     0     0   
Hate            0        0      0           0    0          0    30     0   
Love            0        0      0           0    0          0     0    13   
Neutral         0        0      0           0    0          0     0     0   
Relief          0        0      0           0    0          0     0     0   
Sadness         0        0      0           0    0          0     0     0   
Surprise        0        0      0           0    0          0     0     0   
Worry           0        0      0           0    0          0     0     0   
__all__         0        0      5           1    5         14    31    13   

Predicted   Neutral  Relief  Sadness  Surprise  Worry  __all__  
Actual                                                          
Anger             0       0        0         0      2        2  
Boredom           1       0        2         0      3        6  
Empty             5       0        2         0      6       18  
Enthusiasm        4       0        2         0      7       14  
Fun               3       0        3         0      3       15  
Happiness         3       0        6         0      8       31  
Hate              6       0       10         0      8       54  
Love              3       0        7         0      6       29  
Neutral         180       0       18         0     33      231  
Relief            2       2        3         0      5       12  
Sadness           6       0      226         0     24      256  
Surprise          9       0        6        17     18       50  
Worry            14       0       18         0    266      298  
__all__         236       2      303        17    389     1016  
