Predicted   Anger  Boredom  Empty  Enthusiasm  Fun  Happiness  Hate  Love  \
Actual                                                                      
Anger          57        2      0           1    4          0     3     1   
Boredom         0       70      4           0    1          1     2     1   
Empty           0        3     65           2    3          2     0     0   
Enthusiasm      0        2      1          55    2          2     0     5   
Fun             0        1      1           0   69          0     0     2   
Happiness       0        1      1           3    1         61     0     1   
Hate            2        0      1           1    1          2    69     1   
Love            0        1      1           2    3          1     0    70   
Neutral         0        4      0           2    2          0     3     5   
Relief          0        1      2           1    0          3     2     1   
Sadness         1        2      2           3    0          1     3     3   
Surprise        0        1      1           3    1          1     0     3   
Worry           0        1      1           3    1          1     0     3   
__all__        60       89     80          76   88         75    82    96   

Predicted   Neutral  Relief  Sadness  Surprise  Worry  __all__  
Actual                                                          
Anger             2       2        0         0      1       73  
Boredom           0       0        0         0      1       80  
Empty             1       1        0         0      0       77  
Enthusiasm        3       3        3         0      1       77  
Fun               2       2        0         0      1       78  
Happiness         1       3        0         0      3       75  
Hate              2       1        0         0      0       80  
Love              0       2        0         0      0       80  
Neutral          52       4        2         0      1       75  
Relief            1      62        5         0      0       78  
Sadness           0       2       63         0      0       80  
Surprise          1       1        2         0     65       79  
Worry             1       1        2         0     65       79  
__all__          66      84       77         0    138     1011  
