Predicted   Anger  Boredom  Empty  Enthusiasm  Fun  Happiness  Hate  Love  \
Actual                                                                      
Anger           8        1      3          12    9          4     0     9   
Boredom         5       16      2           3    8          8     1    12   
Empty          11        9      1           8    4          6     1     8   
Enthusiasm      7        4      0           7    7          5     2    12   
Fun             3        3      3           6   16          6     3    10   
Happiness       4        3      2          17    7          7     2     6   
Hate           13        4      2           7    8          1    12     5   
Love            5        1      1           6    8          9     2    24   
Neutral        10        4      1           8    4          6     3     7   
Relief          5        5      1           5    1          9     2     4   
Sadness         9        3      1           4    5          6     6    18   
Surprise        7        7      2          13    8          8     0     5   
Worry           7        7      2          13    8          8     0     5   
__all__        94       67     21         109   93         83    34   125   

Predicted   Neutral  Relief  Sadness  Surprise  Worry  __all__  
Actual                                                          
Anger             8       8        4         6      1       73  
Boredom          10       5        3         1      1       75  
Empty            17       5        2         2      1       75  
Enthusiasm       14       6        3         6      1       74  
Fun              11      12        1         3      0       77  
Happiness        13       8        3         2      0       74  
Hate             12       3        5         2      2       76  
Love              5      10        4         2      1       78  
Neutral          14       7        6         0      2       72  
Relief           21      13        6         1      1       74  
Sadness           8       6        5         5      2       78  
Surprise         10       8        3         4      1       76  
Worry            10       8        3         4      1       76  
__all__         153      99       48        38     14      978  
